alpha_deg,branch,batch,iterations,C_L
15.0,downstroke,8,1600,1.473072679240753
15.0,downstroke,9,1800,1.47307027759579
15.0,downstroke,10,2000,1.473071512866413
14.0,downstroke,1,200,1.403568137058306
14.0,downstroke,2,400,1.403567443070878
14.0,downstroke,3,600,1.403568136389077
14.0,downstroke,4,800,1.403568291744375
14.0,downstroke,5,1000,1.403566353346707
14.0,downstroke,6,1200,1.40356781511635
14.0,downstroke,7,1400,1.403568050891425
14.0,downstroke,8,1600,1.403568558620367
14.0,downstroke,9,1800,1.40356853431578
14.0,downstroke,10,2000,1.403567728460179
13.0,downstroke,1,200,1.324873538772956
13.0,downstroke,2,400,1.324873602429954
13.0,downstroke,3,600,1.324873611963853
13.0,downstroke,4,800,1.324874290180686
13.0,downstroke,5,1000,1.324873735093943
13.0,downstroke,6,1200,1.324874002855103
13.0,downstroke,7,1400,1.324873729462558
13.0,downstroke,8,1600,1.324873834973216
13.0,downstroke,9,1800,1.324874252299111
13.0,downstroke,10,2000,1.324873768939862
12.0,downstroke,1,200,1.239266575082797
12.0,downstroke,2,400,1.239266611446981
12.0,downstroke,3,600,1.239266390375994
12.0,downstroke,4,800,1.239266622671996
12.0,downstroke,5,1000,1.239266696384383
12.0,downstroke,6,1200,1.239266393007505
12.0,downstroke,7,1400,1.239266624178903
12.0,downstroke,8,1600,1.239266697259393
12.0,downstroke,9,1800,1.23926639351453
12.0,downstroke,10,2000,1.239266624472403
11.0,downstroke,1,200,1.148310609955878
11.0,downstroke,2,400,1.148310654581307
11.0,downstroke,3,600,1.148310628396178
11.0,downstroke,4,800,1.148310701184824
11.0,downstroke,5,1000,1.148310383505439
10.0,downstroke,1,200,1.053158973441477
10.0,downstroke,2,400,1.05315895850288
10.0,downstroke,3,600,1.053158768557116
10.0,downstroke,4,800,1.053158917860112
10.0,downstroke,5,1000,1.053158960914607
9.0,downstroke,1,200,0.9547449222147563
9.0,downstroke,2,400,0.954744912783454
9.0,downstroke,3,600,0.9547449138114873
9.0,downstroke,4,800,0.9547449160342614
9.0,downstroke,5,1000,0.9547449135048389
8.0,downstroke,1,200,0.8536451388633812
8.0,downstroke,2,400,0.853645123838244
8.0,downstroke,3,600,0.8536451245569294
8.0,downstroke,4,800,0.8536451249349772
8.0,downstroke,5,1000,0.853645125150909
7.0,downstroke,1,200,0.7505152789388112
7.0,downstroke,2,400,0.750515265235798
7.0,downstroke,3,600,0.7505152656036543
7.0,downstroke,4,800,0.7505152658083849
7.0,downstroke,5,1000,0.7505152659230404
6.0,downstroke,1,200,0.6458231751113873
6.0,downstroke,2,400,0.6458231644513794
6.0,downstroke,3,600,0.6458231646366525
6.0,downstroke,4,800,0.6458231647417564
6.0,downstroke,5,1000,0.645823164800822
5.0,downstroke,1,200,0.5399070156270414
5.0,downstroke,2,400,0.5399070071002449
5.0,downstroke,3,600,0.5399070071713159
5.0,downstroke,4,800,0.5399070072091711
5.0,downstroke,5,1000,0.539907007227495
4.0,downstroke,1,200,0.4330612052248272
4.0,downstroke,2,400,0.4330611990136369
4.0,downstroke,3,600,0.4330611989944012
4.0,downstroke,4,800,0.433061198987133
4.0,downstroke,5,1000,0.4330611989828249
3.0,downstroke,1,200,0.3253810979263101
3.0,downstroke,2,400,0.3253810900967332
3.0,downstroke,3,600,0.3253810903143643
3.0,downstroke,4,800,0.3253810902873462
3.0,downstroke,5,1000,0.3253810902690208
2.0,downstroke,1,200,0.2170712751110758
2.0,downstroke,2,400,0.2170712612330694
2.0,downstroke,3,600,0.2170712611474357
2.0,downstroke,4,800,0.2170712611157382
2.0,downstroke,5,1000,0.2170712610924893
1.0,downstroke,1,200,0.1085104518716632
1.0,downstroke,2,400,0.1085104505884753
1.0,downstroke,3,600,0.1085104502403761
1.0,downstroke,4,800,0.108510450187024
1.0,downstroke,5,1000,0.1085104501637759
0.0,downstroke,1,200,-0.0001198217584190182
0.0,downstroke,2,400,-0.0001199434502617969
0.0,downstroke,3,600,-0.0001199436142299006
0.0,downstroke,4,800,-0.0001199436874808433
0.0,downstroke,5,1000,-0.0001199437011305039
